subject_race,subject_sex,outcome,year,month,reason_for_stop,count
asian,male,arrest,2016,5,CRIMINAL V,2
asian,male,arrest,2016,5,TRAFFIC VI,1
asian,male,arrest,2016,7,FLAGGED DO,1
asian,male,arrest,2016,8,CALL FOR S,1
asian,male,arrest,2016,8,CRIMINAL V,1
asian,male,arrest,2016,8,SUSPECT PE,1
asian,male,arrest,2016,9,CALL FOR S,2
asian,male,arrest,2016,9,SUSPECT PE,1
asian,male,arrest,2016,9,TRAFFIC VI,2
asian,male,arrest,2016,10,TRAFFIC VI,1
asian,male,arrest,2016,11,CRIMINAL V,3
asian,male,arrest,2016,11,OTHER,2
asian,male,arrest,2016,11,SUSPECT PE,1
asian,male,arrest,2016,11,SUSPECT VE,1
asian,male,arrest,2016,12,CALL FOR S,1
asian,male,arrest,2016,12,CITIZEN CO,1
asian,male,arrest,2016,12,CRIMINAL V,1
asian,male,arrest,2016,12,TRAFFIC VI,2
asian,male,arrest,2017,1,CALL FOR S,2
asian,male,arrest,2017,1,TRAFFIC VI,3
asian,male,arrest,2017,2,CALL FOR S,1
asian,male,arrest,2017,2,OTHER,2
asian,male,arrest,2017,2,TRAFFIC VI,1
asian,male,arrest,2017,3,FLAGGED DO,2
asian,male,arrest,2017,4,CALL FOR S,1
asian,male,arrest,2017,4,SUSPECT PE,2
asian,male,arrest,2017,4,TRAFFIC VI,1
asian,male,arrest,2017,5,CRIMINAL V,2
asian,male,arrest,2017,5,OTHER,1
asian,male,arrest,2017,6,TRAFFIC VI,1
asian,male,arrest,2017,10,CALL FOR S,1
asian,male,arrest,2017,10,CRIMINAL V,1
asian,male,arrest,2017,10,TRAFFIC VI,1
asian,male,arrest,2017,11,TRAFFIC VI,1
asian,male,arrest,2017,12,CALL FOR S,1
asian,male,arrest,2017,12,FLAGGED DO,1
asian,male,arrest,2017,12,SUSPECT PE,1
asian,male,arrest,2018,1,CALL FOR S,1
asian,male,arrest,2018,1,CRIMINAL V,2
asian,male,arrest,2018,1,SUSPECT PE,2
asian,male,arrest,2018,2,CALL FOR S,1
asian,male,arrest,2018,3,CRIMINAL V,1
asian,male,arrest,2018,3,SUSPECT PE,1
asian,male,arrest,2018,4,CRIMINAL V,1
asian,male,arrest,2018,4,TRAFFIC VI,1
asian,male,arrest,2018,5,CALL FOR S,2
asian,male,arrest,2018,5,TRAFFIC VI,2
asian,male,arrest,2018,7,TRAFFIC VI,1
asian,male,citation,2011,5,CALL FOR S,1
asian,male,citation,2011,5,OTHER,1
asian,male,citation,2011,5,TRAFFIC VI,6
asian,male,citation,2011,6,CALL FOR S,1
asian,male,citation,2011,6,TRAFFIC VI,13
asian,male,citation,2011,7,CRIMINAL V,2
asian,male,citation,2011,7,TRAFFIC VI,11
asian,male,citation,2011,8,CALL FOR S,2
asian,male,citation,2011,8,TRAFFIC VI,15
asian,male,citation,2011,9,CRIMINAL V,1
asian,male,citation,2011,9,SUSPECT PE,1
asian,male,citation,2011,9,TRAFFIC VI,13
asian,male,citation,2011,10,CALL FOR S,2
asian,male,citation,2011,10,CITIZEN CO,1
asian,male,citation,2011,10,TRAFFIC VI,5
asian,male,citation,2011,11,CALL FOR S,2
asian,male,citation,2011,11,TRAFFIC VI,8
asian,male,citation,2011,12,CALL FOR S,1
asian,male,citation,2011,12,SUSPECT PE,1
asian,male,citation,2011,12,TRAFFIC VI,14
asian,male,citation,2012,1,CALL FOR S,2
asian,male,citation,2012,1,TRAFFIC VI,8
asian,male,citation,2012,2,TRAFFIC VI,15
asian,male,citation,2012,3,CALL FOR S,2
asian,male,citation,2012,3,TRAFFIC VI,25
asian,male,citation,2012,4,CALL FOR S,1
asian,male,citation,2012,4,TRAFFIC VI,14
asian,male,citation,2012,5,CALL FOR S,2
asian,male,citation,2012,5,TRAFFIC VI,16
asian,male,citation,2012,6,OTHER,4
asian,male,citation,2012,6,TRAFFIC VI,11
asian,male,citation,2012,7,CALL FOR S,1
asian,male,citation,2012,7,TRAFFIC VI,16
asian,male,citation,2012,8,CRIMINAL V,1
asian,male,citation,2012,8,TRAFFIC VI,12
asian,male,citation,2012,9,TRAFFIC VI,8
asian,male,citation,2012,10,CRIMINAL V,1
asian,male,citation,2012,10,TRAFFIC VI,4
asian,male,citation,2012,11,TRAFFIC VI,6
asian,male,citation,2012,12,CRIMINAL V,1
asian,male,citation,2012,12,TRAFFIC VI,8
asian,male,citation,2013,1,TRAFFIC VI,7
asian,male,citation,2013,2,TRAFFIC VI,1
asian,male,citation,2013,3,TRAFFIC VI,6
asian,male,citation,2013,4,TRAFFIC VI,7
asian,male,citation,2013,5,CRIMINAL V,1
asian,male,citation,2013,5,TRAFFIC VI,4
asian,male,citation,2013,6,CRIMINAL V,1
asian,male,citation,2013,6,TRAFFIC VI,7
asian,male,citation,2013,7,CALL FOR S,1
asian,male,citation,2013,7,TRAFFIC VI,2
asian,male,citation,2013,8,TRAFFIC VI,14
asian,male,citation,2013,9,CRIMINAL V,1
asian,male,citation,2013,9,SUSPECT PE,2
asian,male,citation,2013,9,TRAFFIC VI,7
asian,male,citation,2013,10,CITIZEN CO,1
asian,male,citation,2013,10,CRIMINAL V,8
asian,male,citation,2013,10,TRAFFIC VI,9
asian,male,citation,2013,11,CALL FOR S,2
asian,male,citation,2013,11,TRAFFIC VI,15
asian,male,citation,2013,12,TRAFFIC VI,12
asian,male,citation,2014,1,CALL FOR S,2
asian,male,citation,2014,1,TRAFFIC VI,4
asian,male,citation,2014,2,CALL FOR S,1
asian,male,citation,2014,2,TRAFFIC VI,2
asian,male,citation,2014,3,TRAFFIC VI,7
asian,male,citation,2014,4,TRAFFIC VI,6
asian,male,citation,2014,5,TRAFFIC VI,9
asian,male,citation,2014,6,CALL FOR S,1
asian,male,citation,2014,6,TRAFFIC VI,10
asian,male,citation,2014,7,CALL FOR S,4
asian,male,citation,2014,7,OTHER,1
asian,male,citation,2014,7,SUSPECT PE,4
asian,male,citation,2014,7,SUSPECT VE,1
asian,male,citation,2014,7,TRAFFIC VI,12
asian,male,citation,2014,8,TRAFFIC VI,54
asian,male,citation,2014,9,TRAFFIC VI,27
asian,male,citation,2014,10,CALL FOR S,1
asian,male,citation,2014,10,FLAGGED DO,1
asian,male,citation,2014,10,TRAFFIC VI,10
asian,male,citation,2014,11,TRAFFIC VI,8
asian,male,citation,2014,12,TRAFFIC VI,16
asian,male,citation,2015,1,TRAFFIC VI,10
asian,male,citation,2015,2,CALL FOR S,1
asian,male,citation,2015,2,CRIMINAL V,1
asian,male,citation,2015,2,OTHER,1
asian,male,citation,2015,2,TRAFFIC VI,5
asian,male,citation,2015,3,TRAFFIC VI,20
asian,male,citation,2015,4,CALL FOR S,1
asian,male,citation,2015,4,TRAFFIC VI,21
asian,male,citation,2015,5,CALL FOR S,2
asian,male,citation,2015,5,TRAFFIC VI,14
asian,male,citation,2015,6,TRAFFIC VI,10
asian,male,citation,2015,7,CRIMINAL V,1
asian,male,citation,2015,7,TRAFFIC VI,17
asian,male,citation,2015,8,CALL FOR S,1
asian,male,citation,2015,8,TRAFFIC VI,26
asian,male,citation,2015,9,CALL FOR S,2
asian,male,citation,2015,9,CRIMINAL V,1
asian,male,citation,2015,9,TRAFFIC VI,40
asian,male,citation,2015,10,TRAFFIC VI,24
asian,male,citation,2015,11,TRAFFIC VI,12
asian,male,citation,2015,12,TRAFFIC VI,10
asian,male,citation,2016,1,TRAFFIC VI,16
asian,male,citation,2016,2,CRIMINAL V,1
asian,male,citation,2016,2,TRAFFIC VI,7
asian,male,citation,2016,3,SUSPECT PE,1
asian,male,citation,2016,3,TRAFFIC VI,8
asian,male,citation,2016,4,TRAFFIC VI,8
asian,male,citation,2016,5,TRAFFIC VI,6
asian,male,citation,2016,6,TRAFFIC VI,3
asian,male,citation,2016,7,TRAFFIC VI,6
asian,male,citation,2016,8,CALL FOR S,1
asian,male,citation,2016,8,TRAFFIC VI,14
asian,male,citation,2016,9,TRAFFIC VI,13
asian,male,citation,2016,10,CALL FOR S,1
asian,male,citation,2016,10,OTHER,1
asian,male,citation,2016,10,TRAFFIC VI,3
asian,male,citation,2016,11,CALL FOR S,1
asian,male,citation,2016,11,TRAFFIC VI,6
asian,male,citation,2016,12,OTHER,1
asian,male,citation,2016,12,TRAFFIC VI,7
asian,male,citation,2017,1,TRAFFIC VI,10
asian,male,citation,2017,2,TRAFFIC VI,2
asian,male,citation,2017,3,OTHER,1
asian,male,citation,2017,3,TRAFFIC VI,8
asian,male,citation,2017,4,SUSPECT PE,1
asian,male,citation,2017,4,TRAFFIC VI,6
asian,male,citation,2017,5,TRAFFIC VI,4
asian,male,citation,2017,6,TRAFFIC VI,3
asian,male,citation,2017,7,TRAFFIC VI,9
asian,male,citation,2017,8,TRAFFIC VI,14
asian,male,citation,2017,9,TRAFFIC VI,7
asian,male,citation,2017,10,TRAFFIC VI,3
asian,male,citation,2017,11,TRAFFIC VI,6
asian,male,citation,2017,12,TRAFFIC VI,3
asian,male,citation,2018,1,TRAFFIC VI,4
asian,male,citation,2018,2,TRAFFIC VI,6
asian,male,citation,2018,3,TRAFFIC VI,13
asian,male,citation,2018,4,TRAFFIC VI,6
asian,male,citation,2018,5,TRAFFIC VI,7
asian,male,citation,2018,6,TRAFFIC VI,14
asian,male,citation,2018,7,TRAFFIC VI,4
